comment-id,comment-body,gender,region,age_group
C001,公園の遊具を増やしてほしい。子どもが遊べる場所が少ない。安全な遊び場の確保をお願いします。,女性,東京都,30代
C002,道路の舗装が悪くて危険です。特に雨の日は水たまりができて歩きにくい。早急な改善を希望します。,男性,大阪府,40代
C003,図書館の開館時間を延長してください。仕事帰りに利用したいのですが、閉館時間が早すぎます。,女性,神奈川県,20代
C004,保育園の待機児童問題を解決してほしい。働きたくても預け先がなくて困っています。,女性,東京都,30代
C005,公共施設のバリアフリー化を進めてください。車椅子での移動が困難な場所が多すぎます。,男性,東京都,60代
C006,夜間の街灯を増やして防犯対策を強化してほしい。暗い道が多くて不安です。,その他,大阪府,50代
C007,公園の清掃をもっと頻繁にしてほしい。ゴミが散乱していて子どもを遊ばせられません。,未回答,神奈川県,未回答
C008,自転車専用レーンの整備をお願いします。歩道を走ると歩行者と危険ですし、車道も怖いです。,男性,東京都,20代
C009,地域の防災訓練をもっと充実させてほしい。いざという時のために備えたいです。,女性,大阪府,40代
C010,公民館のWi-Fi環境を整備してください。リモートワークやオンライン学習に使いたいです。,男性,神奈川県,30代
C011,高齢者向けのデジタル教室を開催してほしい。スマートフォンの使い方がよくわかりません。,女性,東京都,60代
C012,子ども食堂への支援を強化してほしい。地域の子どもたちのために継続的な運営が必要です。,女性,大阪府,50代
C013,通学路の安全対策を強化してください。交通量が多く危険な箇所があります。,女性,神奈川県,30代
C014,公共交通機関の本数を増やしてほしい。特に朝夕のラッシュ時は混雑がひどいです。,男性,東京都,40代
C015,ゴミ収集の回数を増やしてください。夏場は臭いが気になります。,その他,大阪府,30代
C016,地域のイベント情報をもっと分かりやすく発信してほしい。参加したくても情報が見つかりません。,女性,神奈川県,20代
C017,公園にベンチを増やしてください。高齢者が休憩できる場所が少ないです。,男性,東京都,60代
C018,学童保育の時間を延長してほしい。仕事の都合で迎えに行けない時があります。,女性,大阪府,30代
C019,歩道の段差を解消してください。ベビーカーでの移動が大変です。,女性,神奈川県,20代
C020,地域の歴史を学べる機会を増やしてほしい。子どもたちに郷土愛を育てたいです。,男性,東京都,50代
C021,騒音対策を強化してください。夜間の工事音で睡眠が妨げられています。,その他,大阪府,40代
C022,ペット同伴可能な公園を作ってほしい。犬の散歩場所が限られています。,女性,神奈川県,30代
C023,避難所の設備を充実させてください。災害時に不安です。,男性,東京都,50代
C024,公共施設での授乳室を増やしてほしい。小さい子連れで外出しにくいです。,女性,大阪府,20代
C025,自治会活動をもっと活性化させたい。地域のつながりが薄れています。,男性,神奈川県,60代
C026,空き家対策を進めてください。防犯上の問題もあり心配です。,女性,東京都,50代
C027,街路樹の手入れをしてほしい。落ち葉で道が滑りやすくなっています。,男性,大阪府,60代
C028,子どもの医療費助成を拡充してほしい。医療費の負担が大きいです。,女性,神奈川県,30代
C029,公園に健康器具を設置してください。高齢者の健康維持に役立ちます。,男性,東京都,60代
C030,地域の見守り活動を支援してほしい。一人暮らしの高齢者が増えています。,女性,大阪府,50代
